area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,location_type,area_propsearch,phase,status,floors,building_type,unit_types,total_units,height,floors_below_ground,date_launched,estimated_handover_date,construction_started,date_cancelled,caption,photo_url
Jumeirah Village Circle,JVC District 18,Burj Al Faraa,Under development (Cancelled),https://propsearch.ae/dubai/burj-al-faraa,"25°3 6.5""N 55°11 58.3""E",Al Fara'a Properties,,,,Office building,JVC District 18,Under development,Cancelled,38,Skyscraper,,,,,,,,,"Burj Al Faraa, January 2015.",https://static.propsearch.ae/photos/dubai/buildings/burj-al-faraa-1373_xl.jpg
Jumeirah Village Circle,JVC District 16,Cadi 1,Under development (Cancelled),https://propsearch.ae/dubai/cadi-1,"25°4 9.6""N 55°12 34""E",Almasah International Real Estate,Dimensions Engineering Consultants,,,Residential building,JVC District 16,Under development,Cancelled,10,Mid-rise building,,,,,2009,,,,update July 2020,https://static.propsearch.ae/dubai-locations/cadi-1-21852_xl.jpg
Jumeirah Village Circle,JVC District 16,Cadi 2,Under development (Cancelled),https://propsearch.ae/dubai/cadi-2,"25°4 7.8""N 55°12 43.6""E",Almasah International Real Estate,Dimensions Engineering Consultants,,,Residential building,JVC District 16,Under development,Cancelled,5,Mid-rise building,,,,,2007,,,,update March 2016,https://static.propsearch.ae/photos/dubai/buildings/cadi-2-6179_xl.jpg
Jumeirah Village Circle,JVC District 16,Cadi 3,Under development (Cancelled),https://propsearch.ae/dubai/cadi-3,"25°4 10.9""N 55°12 30""E",Almasah International Real Estate,Dimensions Engineering Consultants,,,Residential building,JVC District 16,Under development,Cancelled,10,Mid-rise building,,,,,2009,,,,update July 2020,https://static.propsearch.ae/dubai-locations/cadi-3-21851_xl.jpg
Jumeirah Village Circle,JVC District 16,Cadi 4,Under development (Cancelled),https://propsearch.ae/dubai/cadi-4,"25°4 12.9""N 55°12 26.1""E",Almasah International Real Estate,Dimensions Engineering Consultants,,,Residential building,JVC District 16,Under development,Cancelled,5,Mid-rise building,,,,,2009,,,,update January 2019,https://static.propsearch.ae/dubai-locations/cadi-4-14346_xl.jpg
Jumeirah Village Circle,JVC District 17,Baynonah Business Tower,Under development (Cancelled),https://propsearch.ae/dubai/baynonah-business-tower,"25°3 36.5""N 55°13 9.5""E",Reef Real Estate,,,,Multi-building complex,JVC District 17,Under development,Cancelled,,,,,,,,,,,"Baynonah Business Tower, January 2015.",https://static.propsearch.ae/photos/dubai/buildings/baynonah-business-tower-1287_xl.jpg
Jumeirah Village Circle,JVC District 14,Blue Ice Residence,Under development (Cancelled),https://propsearch.ae/dubai/blue-ice-residence,"25°3 15.9""N 55°12 17.5""E",,,,,Residential building,JVC District 14,Under development,Cancelled,5,Mid-rise building,,,,,March 2008,2009,,,,
Jumeirah Village Circle,JVC District 11,Beverly Homes Residence,Under development (Cancelled),https://propsearch.ae/dubai/beverly-homes-residence,"25°3 36.3""N 55°12 33.3""E",,,,,Residential building,JVC District 11,Under development,Cancelled,17,High-rise building,,,,,,2009,,,,
Jumeirah Village Circle,JVC District 10,Zenith Tower J1,Under development (Cancelled),https://propsearch.ae/dubai/zenith-tower-j1,"25°3 42.7""N 55°12 7.1""E",Zenith Smart Real Estate Development,Barajeel Engineering Consultants,Zenith Smart Contracting LLC,,Residential building,JVC District 10,Under development,Cancelled,15,High-rise building,,,,,2008,2011,,,update July 2020,https://static.propsearch.ae/dubai-locations/zenith-tower-j1-22439_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11YMRA003,Under development (Cancelled),https://propsearch.ae/dubai/untitled-plot-jvc11ymra003,"25°3 36.7""N 55°12 35.1""E",Mohammed Mudhafar M Hasan A Razaq Alsaegh,Em Square Engineering Consultants,,,Residential building,JVC District 11,Under development,Cancelled,6,Mid-rise building,,,,,2015,,2015,,update April 2017,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc11ymra003-9657_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13LHRS007,Under development (Cancelled),https://propsearch.ae/dubai/untitled-plot-jvc13lhrs007,"25°2 58.8""N 55°12 56.2""E",,Barajeel Engineering Consultants,,,Hotel,JVC District 13,Under development,Cancelled,19,High-rise building,,,,,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13lhrs007-26384_xl.jpg
Jumeirah Village Circle,JVC District 11,Kaizen One,Under development (Cancelled),https://propsearch.ae/dubai/kaizen-one,"25°3 44.5""N 55°13 8.4""E",Kaizen Developments,,,,Office building,JVC District 11,Under development,Cancelled,30,Skyscraper,,,,,,2008,,,,
Jumeirah Village Circle,JVC District 17,Jumeirah Wave Business Towers,Under development (Cancelled),https://propsearch.ae/dubai/jumeirah-wave-business-towers,"25°3 29.7""N 55°12 59.2""E",High Rise Real Estate,,,,Multi-building complex,JVC District 17,Under development,Cancelled,,,,,,,2006,December 2008,,,,
Jumeirah Village Circle,JVC District 14,Jumeirah Rise,Under development (Cancelled),https://propsearch.ae/dubai/jumeirah-rise,"25°2 51.5""N 55°12 19.7""E",Eshraq Properties,Dimensions Architecture Unlimited,,Cosmos Piling,Residential building,JVC District 14,Under development,Cancelled,16,High-rise building,,,,1,Q2 2016,Q1 2019,,,update June 2020,https://static.propsearch.ae/dubai-locations/jumeirah-rise-21727_xl.jpg
