area,sub_area,project,status,url,coordinates,developer,architectural_consultant,owner,contractor,hotel_operator,piling_contractor,location_type,area_propsearch,phase,status,floors,building_type,floors_below_ground,also_known_as,unit_types,total_units,date_launched,construction_started,estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP003D,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp003d,"25°3 37.1""N 55°13 1.6""E",Cheruvathur C Thampi,Schuster Pechtold,,,,,Residential building,JVC District 17,Under development,On hold,18,High-rise building,,,,,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp003d-26362_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP004D,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp004d,"25°3 38.1""N 55°13 4.6""E",Sabita Agarwal,Abdul Rahim Architectural Consultants,,,,,Residential building,JVC District 17,Under development,On hold,20,High-rise building,,,,,2017,2017,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp004d-26366_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP007A,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp007a,"25°3 35.1""N 55°13 5.8""E",,Abdul Rahim Architectural Consultants,Sabita Agarwal,Ghantoot Gulf Contracting,,Optimum Foundation Company,Residential building,JVC District 17,Under development,On hold,20,High-rise building,,,,,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp007a-22052_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP007C,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp007c,"25°3 35.4""N 55°13 7.1""E",,Abdul Rahim Architectural Consultants,Sabita Agarwal,Ghantoot Gulf Contracting,,Optimum Foundation Company,Residential building,JVC District 17,Under development,On hold,,,,,,20,2016,2017,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp007c-22050_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP007D,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp007d,"25°3 36.1""N 55°13 5.4""E",Sabita Agarwal,Abdul Rahim Architectural Consultants,,,,,Residential building,JVC District 17,Under development,On hold,20,High-rise building,,,,,2016,2017,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp007d-22051_xl.jpg
Jumeirah Village Circle,JVC District 18,Untitled Plot JVC18TCP003A,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc18tcp003a,"25°3 17.2""N 55°11 53.1""E",,Al Khawajah Engineering Consultancy,,,,,Residential building,JVC District 18,Under development,On hold,18,High-rise building,,,,,2018,2019,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc18tcp003a-26452_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12EHR005,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc12ehr005,"25°3 5.6""N 55°13 8.1""E",Pearl Properties,,,,,,Building,JVC District 12,Under development,On hold,,,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc12ehr005-1466_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11NMRA003,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc11nmra003,"25°3 57.6""N 55°13 0.4""E",,Em Square Engineering Consultants,,,,Anmol Piling,Residential building,JVC District 11,Under development,On hold,5,Mid-rise building,,,,,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11nmra003-21661_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11MMRA500,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc11mmra500,"25°3 50.4""N 55°13 3.1""E",New Star Investment & Development Limited,Em Square Engineering Consultants,,,,,Residential building,JVC District 11,Under development,On hold,5,Mid-rise building,,,,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11mmra500-22030_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11CCMRH015,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc11ccmrh015,"25°4 3.2""N 55°12 44.2""E",,Abdul Rahim Architectural Consultants,Nazak Shahoandi,,,,Residential building,JVC District 11,Under development,On hold,18,High-rise building,2,,,,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11ccmrh015-26342_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13AHRG001A,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc13ahrg001a,"25°3 15.3""N 55°12 28.5""E",,Dartec Engineering Consultants,Muhammet Sardarlou,,,Rabat Foundation,Residential building,JVC District 13,Under development,On hold,23,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13ahrg001a-26407_xl.jpg
Jumeirah Village Circle,JVC District 10,Centre Court,Under development (On hold),https://propsearch.ae/dubai/centre-court,"25°4 4.2""N 55°12 30.1""E",ETA Star,LACASA Architects & Engineering Consultants,,,,,Residential building,JVC District 10,Under development,On hold,5,Mid-rise building,,,,,2008,2009,2011,,
Jumeirah Village Circle,JVC District 14,Kensington,Under development (On hold),https://propsearch.ae/dubai/kensington,"25°3 13.6""N 55°12 11.1""E",Exim Management Limited,Next Engineering Consultants,,,,,Residential building,JVC District 14,Under development,On hold,6,Mid-rise building,,,,,2015,2015,,update June 2020,https://static.propsearch.ae/dubai-locations/kensington-21923_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14HMRP600,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc14hmrp600,"25°2 55.8""N 55°11 53.1""E",Dubai Islamic Bank,LACASA Architects & Engineering Consultants,,,,Rabat Foundation,Residential building,JVC District 14,Under development,On hold,,,,,,,2018,,,update June 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14hmrp600-21762_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14HMRP200,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc14hmrp200,"25°2 59.9""N 55°11 51.4""E",Dubai Islamic Bank,LACASA Architects & Engineering Consultants,,,,Rabat Foundation,Residential building,JVC District 14,Under development,On hold,,,,,,,2018,,,update June 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14hmrp200-21763_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14EMRP002,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc14emrp002,"25°3 4.4""N 55°12 4.2""E",Abdul Razeq Abdul Ahad,Al Wasl Al Jadeed Consultants,,,,Cosmos Piling,Residential building,JVC District 14,Under development,On hold,5,Mid-rise building,1,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14emrp002-26435_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13OFRP003,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc13ofrp003,"25°3 5.6""N 55°12 41.8""E",Rashid Murad Taher Al Balooshi,CVTEC Consulting Engineers,,,,,Townhouse row,JVC District 13,Under development,On hold,3,Low-rise building,,,,,2015,2015,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13ofrp003-26388_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13HMRP200,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc13hmrp200,"25°2 55.4""N 55°12 34.4""E",,Amcon Architectural & Engineering Consultants,,,,,Residential building,JVC District 13,Under development,On hold,5,Mid-rise building,,,,,2015,2015,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13hmrp200-22428_xl.jpg
